date,index,year,month
28-Feb-90,1.01469,1990,2
31-Mar-90,1.02241,1990,3
30-Apr-90,1.03062,1990,4
31-May-90,1.03903,1990,5
30-Jun-90,1.04729,1990,6
31-Jul-90,1.05276,1990,7
31-Aug-90,1.05833,1990,8
30-Sep-90,1.0639,1990,9
31-Oct-90,1.06977,1990,10
30-Nov-90,1.07594,1990,11
31-Dec-90,1.08253,1990,12
31-Jan-91,1.09708,1991,1
28-Feb-91,1.1211,1991,2
31-Mar-91,1.11632,1991,3
30-Apr-91,1.13573,1991,4
31-May-91,1.13109,1991,5
30-Jun-91,1.15096,1991,6
31-Jul-91,1.14814,1991,7
31-Aug-91,1.16869,1991,8
30-Sep-91,1.17021,1991,9
31-Oct-91,1.19196,1991,10
30-Nov-91,1.20282,1991,11
31-Dec-91,1.21258,1991,12
31-Jan-92,1.2117,1992,1
29-Feb-92,1.23153,1992,2
31-Mar-92,1.22535,1992,3
30-Apr-92,1.2474,1992,4
31-May-92,1.26626,1992,5
30-Jun-92,1.25904,1992,6
31-Jul-92,1.2815,1992,7
31-Aug-92,1.27716,1992,8
30-Sep-92,1.30019,1992,9
31-Oct-92,1.30623,1992,10
30-Nov-92,1.31335,1992,11
31-Dec-92,1.31615,1992,12
31-Jan-93,1.33885,1993,1
28-Feb-93,1.33119,1993,2
31-Mar-93,1.33431,1993,3
30-Apr-93,1.33332,1993,4
31-May-93,1.32409,1993,5
30-Jun-93,1.31737,1993,6
31-Jul-93,1.31637,1993,7
31-Aug-93,1.31942,1993,8
30-Sep-93,1.32078,1993,9
31-Oct-93,1.32069,1993,10
30-Nov-93,1.3212,1993,11
31-Dec-93,1.33922,1993,12
31-Jan-94,1.35583,1994,1
28-Feb-94,1.3471,1994,2
31-Mar-94,1.36301,1994,3
30-Apr-94,1.36589,1994,4
31-May-94,1.35421,1994,5
30-Jun-94,1.34892,1994,6
31-Jul-94,1.34098,1994,7
31-Aug-94,1.35499,1994,8
30-Sep-94,1.34584,1994,9
31-Oct-94,1.3408,1994,10
30-Nov-94,1.33869,1994,11
31-Dec-94,1.35484,1994,12
31-Jan-95,1.3457,1995,1
28-Feb-95,1.35676,1995,2
31-Mar-95,1.34615,1995,3
30-Apr-95,1.32894,1995,4
31-May-95,1.31688,1995,5
30-Jun-95,1.33787,1995,6
31-Jul-95,1.33436,1995,7
31-Aug-95,1.31876,1995,8
30-Sep-95,1.34322,1995,9
31-Oct-95,1.33484,1995,10
30-Nov-95,1.31978,1995,11
31-Dec-95,1.31595,1995,12
31-Jan-96,1.31624,1996,1
29-Feb-96,1.31568,1996,2
31-Mar-96,1.31585,1996,3
30-Apr-96,1.3416,1996,4
31-May-96,1.3332,1996,5
30-Jun-96,1.31562,1996,6
31-Jul-96,1.32197,1996,7
31-Aug-96,1.31243,1996,8
30-Sep-96,1.29944,1996,9
31-Oct-96,1.30379,1996,10
30-Nov-96,1.30924,1996,11
31-Dec-96,1.30562,1996,12
31-Jan-97,1.30981,1997,1
28-Feb-97,1.29858,1997,2
31-Mar-97,1.30382,1997,3
30-Apr-97,1.29205,1997,4
31-May-97,1.30805,1997,5
30-Jun-97,1.32142,1997,6
31-Jul-97,1.31139,1997,7
31-Aug-97,1.32948,1997,8
30-Sep-97,1.32356,1997,9
31-Oct-97,1.31745,1997,10
30-Nov-97,1.3383,1997,11
31-Dec-97,1.34189,1997,12
31-Jan-98,1.35385,1998,1
28-Feb-98,1.36692,1998,2
31-Mar-98,1.35655,1998,3
30-Apr-98,1.37859,1998,4
31-May-98,1.4031,1998,5
30-Jun-98,1.40247,1998,6
31-Jul-98,1.39542,1998,7
31-Aug-98,1.412,1998,8
30-Sep-98,1.41195,1998,9
31-Oct-98,1.4054,1998,10
30-Nov-98,1.41486,1998,11
31-Dec-98,1.44492,1998,12
31-Jan-99,1.44999,1999,1
28-Feb-99,1.45438,1999,2
31-Mar-99,1.43991,1999,3
30-Apr-99,1.4673,1999,4
31-May-99,1.48624,1999,5
30-Jun-99,1.48383,1999,6
31-Jul-99,1.5069,1999,7
31-Aug-99,1.49968,1999,8
30-Sep-99,1.51309,1999,9
31-Oct-99,1.54187,1999,10
30-Nov-99,1.5849,1999,11
31-Dec-99,1.59457,1999,12
31-Jan-00,1.60355,2000,1
29-Feb-00,1.61354,2000,2
31-Mar-00,1.64323,2000,3
30-Apr-00,1.65121,2000,4
31-May-00,1.64218,2000,5
30-Jun-00,1.6741,2000,6
31-Jul-00,1.66368,2000,7
31-Aug-00,1.66275,2000,8
30-Sep-00,1.66178,2000,9
31-Oct-00,1.68995,2000,10
30-Nov-00,1.72445,2000,11
31-Dec-00,1.73591,2000,12
31-Jan-01,1.74804,2001,1
28-Feb-01,1.76317,2001,2
31-Mar-01,1.78621,2001,3
30-Apr-01,1.82544,2001,4
31-May-01,1.85739,2001,5
30-Jun-01,1.85561,2001,6
31-Jul-01,1.89275,2001,7
31-Aug-01,1.93465,2001,8
30-Sep-01,1.97223,2001,9
31-Oct-01,2.01317,2001,10
30-Nov-01,2.05652,2001,11
31-Dec-01,2.08356,2001,12
31-Jan-02,2.10851,2002,1
28-Feb-02,2.14693,2002,2
31-Mar-02,2.19131,2002,3
30-Apr-02,2.20182,2002,4
31-May-02,2.24859,2002,5
30-Jun-02,2.26701,2002,6
31-Jul-02,2.28976,2002,7
31-Aug-02,2.3072,2002,8
30-Sep-02,2.35881,2002,9
31-Oct-02,2.42749,2002,10
30-Nov-02,2.42046,2002,11
31-Dec-02,2.46849,2002,12
31-Jan-03,2.51467,2003,1
28-Feb-03,2.51843,2003,2
31-Mar-03,2.55138,2003,3
30-Apr-03,2.61494,2003,4
31-May-03,2.6728,2003,5
30-Jun-03,2.75337,2003,6
31-Jul-03,2.81002,2003,7
31-Aug-03,2.86541,2003,8
30-Sep-03,2.9483,2003,9
31-Oct-03,3.03882,2003,10
30-Nov-03,3.082,2003,11
31-Dec-03,3.09679,2003,12
31-Jan-04,3.10366,2004,1
29-Feb-04,3.0922,2004,2
31-Mar-04,3.09718,2004,3
30-Apr-04,3.06417,2004,4
31-May-04,3.12054,2004,5
30-Jun-04,3.14569,2004,6
31-Jul-04,3.13644,2004,7
31-Aug-04,3.13618,2004,8
30-Sep-04,3.10621,2004,9
31-Oct-04,3.08499,2004,10
30-Nov-04,3.11772,2004,11
31-Dec-04,3.13615,2004,12
31-Jan-05,3.12091,2005,1
28-Feb-05,3.13647,2005,2
31-Mar-05,3.11781,2005,3
30-Apr-05,3.14771,2005,4
31-May-05,3.17334,2005,5
30-Jun-05,3.19602,2005,6
31-Jul-05,3.17597,2005,7
31-Aug-05,3.19091,2005,8
30-Sep-05,3.16165,2005,9
31-Oct-05,3.22245,2005,10
30-Nov-05,3.20388,2005,11
31-Dec-05,3.22816,2005,12
31-Jan-06,3.30039,2006,1
28-Feb-06,3.27766,2006,2
31-Mar-06,3.32423,2006,3
30-Apr-06,3.29989,2006,4
31-May-06,3.35767,2006,5
30-Jun-06,3.4348,2006,6
31-Jul-06,3.49578,2006,7
31-Aug-06,3.47076,2006,8
30-Sep-06,3.48212,2006,9
31-Oct-06,3.55561,2006,10
30-Nov-06,3.53086,2006,11
31-Dec-06,3.55432,2006,12
31-Jan-07,3.60398,2007,1
28-Feb-07,3.625,2007,2
31-Mar-07,3.59673,2007,3
30-Apr-07,3.66754,2007,4
31-May-07,3.74645,2007,5
30-Jun-07,3.79861,2007,6
31-Jul-07,3.80392,2007,7
31-Aug-07,3.79889,2007,8
30-Sep-07,3.84918,2007,9
31-Oct-07,3.93626,2007,10
30-Nov-07,3.98429,2007,11
31-Dec-07,4.03834,2007,12
31-Jan-08,4.12015,2008,1
29-Feb-08,4.12449,2008,2
31-Mar-08,4.08825,2008,3
30-Apr-08,4.16323,2008,4
31-May-08,4.21302,2008,5
30-Jun-08,4.1746,2008,6
31-Jul-08,4.15641,2008,7
31-Aug-08,4.12325,2008,8
30-Sep-08,4.14192,2008,9
31-Oct-08,4.06857,2008,10
30-Nov-08,4.01915,2008,11
31-Dec-08,4.07248,2008,12
31-Jan-09,4.08291,2009,1
28-Feb-09,4.08816,2009,2
31-Mar-09,4.07847,2009,3
30-Apr-09,4.09527,2009,4
31-May-09,4.17259,2009,5
30-Jun-09,4.23152,2009,6
31-Jul-09,4.25623,2009,7
31-Aug-09,4.3093,2009,8
30-Sep-09,4.32335,2009,9
31-Oct-09,4.26328,2009,10
30-Nov-09,4.34345,2009,11
31-Dec-09,4.40423,2009,12
31-Jan-10,4.41208,2010,1
28-Feb-10,4.47451,2010,2
31-Mar-10,4.5253,2010,3
30-Apr-10,4.57416,2010,4
31-May-10,4.61032,2010,5
30-Jun-10,4.66575,2010,6
31-Jul-10,4.75411,2010,7
31-Aug-10,4.76206,2010,8
30-Sep-10,4.79978,2010,9
31-Oct-10,4.76555,2010,10
30-Nov-10,4.83132,2010,11
31-Dec-10,4.79748,2010,12
31-Jan-11,4.73814,2011,1
